,0
0,Indonesia
1,Pakistan
2,Afghanistan
3,Bangladesh
4,Japan
5,Philippines
6,Vietnam
7,Turkey
8,Iran
9,Thailand
10,Russia
11,Mongolia
12,Kazakhstan
13,Tajikistan
14,Taiwan
15,Sri Lanka
16,Nepal
17,Bhutan
18,North Korea
19,South Korea
20,Australia
21,Malaysia
22,Kyrgyzstan
23,Uzbekistan
24,Oman
25,Kuwait
26,Georgia
27,Azerbaijan
28,Laos
29,Myanmar
30,Singapore
31,Maldives
32,Qatar
33,Bahrain
34,Jordan
35,Saudi Arabia
36,Canada
37,New Zealand
38,Usa
39,Tasmania
40,Turkmenistan
41,U.A.E
42,Armenia
43,Syria
44,Romania
45,Bulgaria
46,Ukraine
47,Belarus
48,Lithuania
49,Latvia
50,Estonia
51,Finland
52,Sweden
53,Norway
54,Denmark
55,Poland
56,Greece
57,Israel
58,Egypt
59,Sudan
60,Chad
61,Yemen
62,Ethiopia
63,South Sudan
64,Libya
65,Niger
66,Tunisia
67,Uganda
68,Kenya
69,Madagascar
70,Mauritius
71,Burundi
72,Somalia
73,Zambia
74,Zimbabwe
75,Mozambique
76,South Africa
77,Angola
78,Namibia
79,Botswana
80,Tanzania
81,Central African Republic
82,Democratic Rep of the congo
83,Gabon
84,Congo
85,Germany
86,Italy
87,Lesotho
88,Nigeria
89,Mali
90,Tunisia
91,Senegal
92,Mauritania
93,Algeria
94,Morocco
95,Spain
96,France
97,San Marino
98,Ireland
99,Uk
100,Iceland
101,Portugal
102,Andorra
103,Monaco
104,San marino
105,Gambia
106,Liberia
107,Sierra leone
108,Cabo verde
109,Brazil
110,Peru
111,Colombia
112,Paraguay
113,Uruguay
114,Argentina
115,Chile
116,Bolivia
117,Ecuador
118,Guyana
119,Venezuela
120,Dominican Rep
121,Haiti
122,St. kitts & nevis
123,Puerto rico
124,Barbados
125,St lucia
126,Antigua and Barbuda
127,Jamaica
128,Cuba
129,The Bahamas
130,El Salvador
131,Costa Rica
132,Nicaragua
133,Guatemala
134,Mexico
135,Dominica
136,Trinidad & Tobago
137,Suriname
138,Greenland
139,Antarctica
140,Honduras
141,Belize
142,Vatican city
143,Rwanda
144,Palestine
145,Panama
146,Ghana
147,Lebanon
148,Cyprus
149,Togo
150,Cameroon
151,Netherlands
152,Belgium
153,Slovakia
154,Czechia
155,Bosnia
156,Austria
157,Hungary
158,Switzerland
159,Kosovo
160,Luxembourg
161,Fiji
162,Croatia
163,Slovenia
164,Marshall islands
165,Palau
166,Micronesia
167,Nauru
168,Solomon islands
169,Kiribati
170,Tuvalu
171,Timor leste
172,Papua new guinea
173,Samoa
174,Brunei
175,Eritrea
176,cote dlvoire
177,Malta
178,Sao tome
179,North Macedonia
180,Montenegro
181,Burkina Faso
182,Eswatini
183,Comoros
184,Djibouti
185,Malawi
186,Serbia
187,Liechtenstein
188,Albania
189,Tonga
190,Vanuata
191,Cambodia
192,Seychelles
193,Grenada
194,Belize
